pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,0,0,0,0,4,3,19,3,,,,,249.31566440000051,250.31588370000054,250.31588370000054,250.31588370000054,250.31588370000054,250.31588370000054,251.31520049999972,251.31520049999972,z,1,0.45780189999959475,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,5,0,20,0,,,,,251.79808410000032,252.79711309999993,252.79711309999993,252.79711309999993,252.79711309999993,252.79711309999993,253.79774709999992,253.79774709999992,x,1,0.42880660000037096,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,5,1,21,1,,,,,254.24714020000056,255.24742730000025,255.24742730000025,255.24742730000025,255.24742730000025,255.24742730000025,256.24702600000046,256.24702600000046,v,1,0.4289721999998619,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,5,2,22,2,,,,,256.69628990000047,257.69569400000046,257.69569400000046,257.69569400000046,257.69569400000046,257.69569400000046,258.6963608000001,258.6963608000001,c,1,0.30598799999961557,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,5,3,23,3,,,,,259.0292531,260.0295503000002,260.0295503000002,260.0295503000002,260.0295503000002,260.0295503000002,261.02882400000044,261.02882400000044,z,1,0.6090568999993593,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,6,0,24,0,,,,,261.66139580000026,262.6620441,262.6620441,262.6620441,262.6620441,262.6620441,263.6617547999999,263.6617547999999,x,1,0.47021389999963503,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
150,v,0,0,0,0,6,1,25,1,,,,,264.1612686000003,265.1611523000006,265.1611523000006,265.1611523000006,265.1611523000006,265.1611523000006,266.1604732999999,266.1604732999999,v,1,0.4157609999997476,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
50,c,0,0,0,0,6,2,26,2,,,,,266.5930922000002,267.57739730000003,267.57739730000003,267.57739730000003,267.57739730000003,267.5934256000005,268.5927983000006,268.5927983000006,c,1,0.43554659999927026,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-150,z,0,0,0,0,6,3,27,3,,,,,269.0592535999999,270.0594997000003,270.0594997000003,270.0594997000003,270.0594997000003,270.0594997000003,271.0595612000002,271.0595612000002,z,1,0.7345430000000306,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
-50,x,0,0,0,0,7,0,28,0,,,,,271.8253454999999,272.82446480000044,272.82446480000044,272.82446480000044,272.82446480000044,272.82446480000044,273.82416650000005,273.82416650000005,x,1,0.3629407000003084,None,01,001,2023-10-09_13h15.54.320,motorsequencelearning,2023.1.3,59.82499991045621,
